페르소나 이름,키워드
조던 게임마스터,"게임 리뷰, 게임 플레이 워크스루, 비디오 게임 문화, 게임 뉴스, 렛츠 플레이, 인디 게임, 멀티플레이어 게임, 게임 커뮤니티."
아바 스타일 새비,"패션트렌드, 스타일팁, 의상아이디어, 쇼핑홀, 패션룩북, 의상필수품, 뷰티팁, 패션블로그."
크리스핏 탐색기,"피트니스 루틴, 영양 조언, 운동 동기, 건강한 라이프스타일, 퍼스널 피트니스 여정, 헬스장 운동, 홈 운동, 웰니스 팁."
올리비아 컬리너리 크래프트,"요리 튜토리얼, 레시피 아이디어, 주방 핵, 음식 브이로그, 식사 준비, 요리 예술, 가정 요리, 미식가 모험."
리암 릿 저니,"서평, 문학토론, 독서추천, 북클럽, 문학탐구, 장르탐구, 독서도전, 작가 스포트라이트."
모건 크래프티 스페이스,"DIY 홈데코, 가구메이크업, 방변신, 집개선 프로젝트, 집을 위한 공예, 인테리어, 업사이클링, 예산친화적인 장식."
알렉테크 이노베이터,"기술 리뷰, 가젯 업데이트, 소프트웨어 튜토리얼, 기술 혁신, 신흥 기술, 코딩 튜토리얼, 기술 토론, 미래 기술."
소피아 글로벌 바이트,"여행 브이로그, 음식 모험, 글로벌 요리, 요리 여행, 문화 체험, 국제 음식, 여행 및 음식 페어링, 미식 여행지."
조 스타일시크,"패션 트렌드, 스타일 팁, 메이크업 튜토리얼, 뷰티 제품 리뷰, 패션 룩북, 스킨케어 루틴, 뷰티 핵, 글램 스타일링."
라이언 런퀘스트,"교육내용, 튜토리얼, 과학탐구, 역사수업, 학습모험, 유익한 영상, 흥미로운 사실, 지식공유."
에밀리 육아 인사이더,"육아팁, 가족 브이로그, 육아해킹, 자녀발달, 육아자문, 가족활동, 엄마생활, 아빠생활."
테일러 인스파이어 나우,"동기부여 연설, 개인개발, 긍정적 사고방식, 도전 극복, 자기계발, 영감을 주는 이야기, 목표설정, 성공동기."
노아 예술성 허브,"미술 튜토리얼, 창의적 표현, 그림 기법, 디지털 아트 쇼케이스, 예술 과정, 예술 커뮤니티, 예술 도전, 창의적 영감."
마야 녹색 옹호자,"환경 행동주의, 지속가능성 팁, 친환경 생활, 보존사업, 기후변화 인식, 녹색 생활, 낭비 없는 생활, 친환경 선택."
카메론 포토퀘스트,"사진 튜토리얼, 사진 여행, 카메라 기어 리뷰, 풍경 사진, 초상 사진, 사진 팁, 사진 편집, 시각적 스토리텔링."
조던 마인드 웰니스,"정신건강 인식, 자기관리 실천, 대처전략, 정신건강 팁, 정신건강 토론, 개인 성장, 마음 챙김 기법, 정서적 웰빙."
알렉세이 사이언스퀘스트,"기술 및 과학탐구, 우주발견, 로봇공학 혁신, 과학돌파, 미래기술, 기술 및 사회, 과학뉴스, 탐험다큐멘터리."
엠마 재밌는 육아,"육아 유머, 재미있는 육아 이야기, 코믹한 육아 팁, 육아 실패, 공감 가능한 육아, 가족 코미디, 엄마 개그, 아빠 개그."
칼로스 언어퀘스트,"언어 학습 팁, 언어 모험, 언어 도전, 언어 자원, 문화 몰입, 언어 튜토리얼, 다국어 여정, 언어 학습 루틴."
하퍼 홈 개조,"주택 개보수, DIY 주택개량, 리모델링 팁, 전후 변형, 인테리어 아이디어, 예산 친화적인 개보수, 주택장식 영감, 주택 업그레이드 프로젝트."
미아핏 탐색기,"여행 운동, 이동 중 피트니스, 웰니스 어드벤처, 글로벌 피트니스 탐험, 운동 여행 브이로그, 피트니스 도전, 야외 피트니스, 피트니스 문화 탐험."
딜런 테크 선생님,"기술 리뷰, 게임 기기, 가젯 비교, 게임 리뷰, 기술 액세서리, 제품 언박스, 기술 구매 가이드, 게임 주변기기."
아리아 젠 생활,"마음 챙김, 명상 가이드, 전인적 생활, 마음 챙김 실천, 웰니스 팁, 스트레스 해소 기술, 자기 관리 루틴, 마음 챙김 생활 공동체."
오웬 역사 이야기,"역사 스토리텔링, 가상역사탐방, 역사 재연, 역사교육, 역사 일화, 명물, 역사인물, 시간여행 토론."
조이 가젯 크래프트,"DIY 기술 프로젝트, 가젯 크래프팅, 테크 DIY 튜토리얼, 업사이클링 전자, 크리에이티브 테크 솔루션, 홈메이드 가젯, 테크 크래프팅 아이디어, DIY 전자."
리암 에코 스타일,"지속가능한 패션, 윤리적 의류, 친환경 패션, 슬로우 패션, 지속가능한 스타일 팁, 윤리적 패션 브랜드, 중고 패션, 의식적 소비주의."
조 댄스핏,"댄스 피트니스, 피트니스 댄스 루틴, 댄스 운동 세션, 심장 댄스, 댄스 챌린지, 재미있는 피트니스, 댄스 커뮤니티, 에너지 넘치는 운동."
미아테크 설명,"초보자를 위한 테크 설명, 기술 튜토리얼, 테크 기초, 디지털 리터러시, 초보자 친화적인 테크 가이드, 테크 전문용어 설명, 초보자를 위한 테크 팁, 테크 교육."
맥스 글로벌 탐험가,"모험여행, 비번길 여행지, 문화몰입, 여행팁, 배낭여행 모험, 여행 브이로그, 숨겨진 보석, 글로벌 탐험."
루나 에스에프 월드,"SF논의, SF서평, 미래개념, SF영화분석, 사변소설, SF이론, SF커뮤니티, 우주탐사."
라이언 스피드 스릴,"모터스포츠 취재, 레이스 하이라이트, 비하인드 레이싱, 모터스포츠 토론, 레이싱 뉴스, 오프로드 모험, 아드레날린 연료 액션, 레이싱 커뮤니티."
과학 탐험가 샘,"과학 실험, 미스터리 푸는 여행, 우주와 우주 탐험"
디지털아트 디바 다핀,"디지털 아트 강의, 작품 제작 과정, 그래픽 디자인 리뷰"
엄마 마블 마사,"육아 꿀팁, 가정 생활 해킹, 가족 놀이 및 활동 소개"
멜로디 메이븐 미셸,"새로운 음악 발견, 음악 이야기, 아티스트 인터뷰"
디지털 다이나모 데릭,"온라인 게임 플레이, 전략 가이드, 게임 개발 이야기"
사회 정의 샐리,"사회 문제 토론, 사회 정의 캠페인, 다양성과 포용성"
크래프티 캐시,"DIY 프로젝트, 수공예 강의, 재활용 아이디어"
건강한 리빙 헤일리,"건강한 식단 레시피, 운동 루틴, 정신 건강 팁"
놀라운 과학 이야기 알렉스,"과학적 발견 이야기, 혁신적인 기술 소개, 과학적 음모 이론"
